IPO Name,Issue Open Date,Issue Close Date,Listing Date,Listing Exchange,Issue Price (Rs),Listing Price (Rs),Listing Gain (%),GMP ,Retail Subscription,NII Subscription,QIB Subscription,Issue Size (Rs.cr),Revenue (Rs),Profit (Rs),EPS,Promoter Holding (%),Lead Manager,Label,upper_price,lower_price,no_of_shares_cr,Year,IPO_Duration,Price_Band_Width,log_Issue_Size,Sub_Strength,Recommendation
Narayana Hrudayalaya Ltd. IPO,2015-12-17,2015-12-21,2016-01-06,"BSE, NSE",250,291.0,16.4,41.0,1.89,3.62,24.43,613.08,1373.19,-12.11,Negative,35.09,Axis Bank,0.0,0,0,0,2015,4,0,6.420125212819335,13.679,Apply
Alkem Laboratories Ltd. IPO,2015-12-08,2015-12-10,2015-12-23,"BSE, NSE",1050,1380.0,31.43,330.0,4.24,61.28,63.56,0.0,3964.2,460.75,38.54,53.8,Axis Capital,0.0,0,0,0,2015,2,0,0.0,51.012,Apply
Dr.Lal PathLabs Ltd. IPO,2015-12-08,2015-12-10,2015-12-23,"BSE, NSE",550,720.0,30.91,170.0,3.17,129.96,57.19,631.91,660,94,11.48,58.7,Citigroup Global,0.0,0,0,0,2015,2,0,6.4503282319408415,68.217,Apply
S H Kelkar & Co.Ltd. IPO,2015-10-28,2015-10-30,2015-11-16,"BSE, NSE",180,222.0,23.33,42.0,1.98,87.38,25.55,508.17,832.41,63.88,5.34,71.72,JM Financial,0.0,0,0,0,2015,2,0,6.232781949001056,39.385,Apply
InterGlobe Aviation Ltd. IPO,2015-10-27,2015-10-29,2015-11-10,"BSE, NSE",765,856.0,11.9,91.0,0.92,3.57,17.8,0.0,13924.47,1295.58,0,85.9,Barclays Securities,0.0,0,0,0,2015,2,0,0.0,10.155,Apply
Coffee Day Enterprises Ltd. IPO,2015-10-14,2015-10-16,2015-11-02,"BSE, NSE",328,313.0,-4.57,-15.0,0.9,0.54,4.39,0.0,2429.21,119.89,5.76,53.86,Axis Bank,0.0,0,0,0,2015,2,0,0.0,2.537,Avoid
Sadbhav Infrastructure Project Ltd. IPO,2015-08-31,2015-09-02,2015-09-16,"BSE, NSE",103,111.0,7.77,8.0,0.34,1.42,0.88,491.66,489.26,-2126.33,Negative,73.91,Edelweiss Financial,0.0,0,0,0,2015,2,0,6.199819280948752,0.934,Avoid
Prabhat Dairy Ltd. IPO,2015-08-28,2015-09-04,2015-09-21,"BSE, NSE",115,115.0,0.0,0.0,1.69,1.66,3.04,356.19,1023.77,45.45,4.86,50.59,Edelweiss Financial,0.0,0,0,0,2015,7,0,5.878267853089746,2.356,Avoid
Shree Pushkar Chemicals & Fertilisers Ltd. IPO,2015-08-25,2015-08-27,2015-09-10,"BSE, NSE",65,87.5,34.62,22.5,0.41,1.44,2.2,70.0,277.63,29.56,13.06,69.76,Keynote Financial,0.0,0,0,0,2015,2,0,4.262679877041316,1.614,Apply
Pennar Engineered Building Systems Ltd. IPO,2015-08-25,2015-08-27,2015-09-10,"BSE, NSE",178,177.95,-0.03,-0.0500000000000114,1.54,2.09,0.97,156.19,599.41,35.78,4.09,52.28,Axis Bank,0.0,0,0,0,2015,2,0,5.057455264740146,1.42,Avoid
